# metric: mean |SHAP|
rank,feature,value
1,headache_free_streak,0.03170572
2,days_since_last_migraine,0.02968040
3,migraine_rate_last7,0.02652414
4,migraine_rate_last3,0.01594602
5,migraine_yesterday,0.01038137
6,inappropriate_lighting_today,0.00698405
7,menstruation_today,0.00449490
8,inappropriate_lighting,0.00357545
9,consecutive_sedentary_days,0.00291778
10,stress_today,0.00233526
11,sleep_variability_7day,0.00185703
12,sleep_disruption_today,0.00178868
13,consecutive_stress_days,0.00148445
14,days_since_last_record,0.00145769
15,lack_of_sleep_today,0.00144382
16,recording_gap_flag,0.00143825
17,consecutive_exercise_days,0.00133241
18,physical_fatigue_today,0.00115977
19,any_sleep_issue_today,0.00111747
20,sleep_debt_3day,0.00101206
21,exercise_days_7day,0.00097409
22,weather_instability_3day,0.00083823
23,specific_smells_today,0.00070404
24,exercise_today,0.00067009
25,consecutive_trigger_days,0.00063504
26,noise_today,0.00061854
27,emotional_changes_today,0.00059771
28,recent_weekend_sleep_issues,0.00053412
29,moderate_exercise_min,0.00050728
30,dow,0.00044284
31,stress_drop_today,0.00043353
32,no_exercise_today,0.00042331
33,sunlight_today,0.00030133
34,vigorous_exercise_min,0.00026980
35,cheese_chocolate_today,0.00025388
36,irregular_meals_today,0.00025164
37,sunlight,0.00025148
38,exercise_as_trigger_today,0.00023961
39,ovulation_today,0.00023753
40,consecutive_weather_changes,0.00023134
41,weather_headache_interaction,0.00022877
42,excessive_smoking,0.00019828
43,alcohol_today,0.00019241
44,weather_change_today,0.00018905
45,travel_today,0.00017815
46,exercise_as_trigger,0.00016888
47,excessive_caffeine_today,0.00016314
48,weather_change_yesterday,0.00014813
49,cheese_chocolate,0.00013639
50,oversleeping_today,0.00013409
51,excessive_smoking_today,0.00013251
52,overeating_today,0.00011281
