x,y,proba,method
1.9981215000152588,4.5765910148620605,0.18687328696250916,UMAP
0.13971136510372162,5.609913349151611,0.14425212144851685,UMAP
1.7602018117904663,7.469400882720947,0.20746544003486633,UMAP
2.1443092823028564,4.424644947052002,0.2674139440059662,UMAP
2.0228028297424316,3.077181100845337,0.17243513464927673,UMAP
2.1915740966796875,2.9313340187072754,0.18358348309993744,UMAP
4.492950439453125,4.839924335479736,0.25200000405311584,UMAP
5.405713081359863,4.122598171234131,0.259710431098938,UMAP
5.452942371368408,4.05509614944458,0.25506120920181274,UMAP
5.273166656494141,4.078138828277588,0.27647823095321655,UMAP
4.709989547729492,4.146046161651611,0.29678109288215637,UMAP
4.870218753814697,4.05821418762207,0.2756080627441406,UMAP
4.117403984069824,3.961658477783203,0.2921816110610962,UMAP
2.71466326713562,3.460080623626709,0.2570613622665405,UMAP
2.737426996231079,3.45894455909729,0.2515339255332947,UMAP
2.4053614139556885,4.427713394165039,0.28835976123809814,UMAP
2.7300994396209717,3.4384312629699707,0.22042496502399445,UMAP
2.397158622741699,2.9778406620025635,0.1894877851009369,UMAP
2.310488224029541,2.702460765838623,0.2016431838274002,UMAP
0.8915601372718811,2.8666317462921143,0.1701284497976303,UMAP
2.237635850906372,2.7871999740600586,0.20593960583209991,UMAP
2.4216792583465576,2.904484987258911,0.21292316913604736,UMAP
5.879501819610596,4.012600421905518,0.22592194378376007,UMAP
4.829085826873779,4.638592720031738,0.2708372175693512,UMAP
4.048624515533447,4.73560905456543,0.30194103717803955,UMAP
2.883490800857544,4.529031753540039,0.3044165074825287,UMAP
4.616254806518555,4.667464256286621,0.24102692306041718,UMAP
6.045954704284668,4.474590301513672,0.2528865337371826,UMAP
4.913906097412109,4.2386794090271,0.3076325058937073,UMAP
4.861505031585693,3.8945369720458984,0.26292386651039124,UMAP
5.033169746398926,3.9325928688049316,0.2437085211277008,UMAP
3.8611690998077393,3.844149589538574,0.2667829990386963,UMAP
4.2322773933410645,3.9365649223327637,0.2956458032131195,UMAP
2.4329538345336914,3.1999359130859375,0.21283602714538574,UMAP
2.2114336490631104,3.9506404399871826,0.23014624416828156,UMAP
2.5647709369659424,3.3634700775146484,0.2288379669189453,UMAP
2.3895585536956787,2.9518935680389404,0.19765707850456238,UMAP
2.3975119590759277,3.5378899574279785,0.235202819108963,UMAP
2.130657434463501,3.7514002323150635,0.2042577862739563,UMAP
2.2470364570617676,3.4709293842315674,0.2277766466140747,UMAP
2.3225085735321045,3.5318498611450195,0.22343355417251587,UMAP
2.1403443813323975,3.0707690715789795,0.21808645129203796,UMAP
2.198305606842041,2.8984320163726807,0.19762922823429108,UMAP
2.1690080165863037,3.011322021484375,0.21292614936828613,UMAP
2.2509541511535645,3.178807258605957,0.2156355381011963,UMAP
2.2561631202697754,3.7417707443237305,0.22902566194534302,UMAP
2.213937282562256,3.5619192123413086,0.22437283396720886,UMAP
2.261300802230835,3.6505963802337646,0.22092598676681519,UMAP
2.1588010787963867,3.682457685470581,0.2224673330783844,UMAP
2.1821744441986084,3.5350539684295654,0.21697597205638885,UMAP
2.1595284938812256,3.8823673725128174,0.20333224534988403,UMAP
2.1976640224456787,4.024982452392578,0.2271091639995575,UMAP
2.1574454307556152,3.6060094833374023,0.22338378429412842,UMAP
1.9698525667190552,3.3087544441223145,0.2254755198955536,UMAP
1.902652621269226,3.0440757274627686,0.18482980132102966,UMAP
1.8739712238311768,3.2820956707000732,0.2081732153892517,UMAP
2.2129247188568115,3.95625638961792,0.2322562336921692,UMAP
2.093008041381836,3.727414131164551,0.22243762016296387,UMAP
1.8820871114730835,3.040184736251831,0.1934053897857666,UMAP
1.981513500213623,3.1875064373016357,0.19877949357032776,UMAP
5.350503444671631,3.7974743843078613,0.20517456531524658,UMAP
4.733750820159912,4.053668975830078,0.20733830332756042,UMAP
3.8840110301971436,5.6739821434021,0.3408204913139343,UMAP
9.153677940368652,3.8931949138641357,0.2799450755119324,UMAP
9.251691818237305,4.086602210998535,0.26572680473327637,UMAP
4.727458953857422,4.888736724853516,0.3065638840198517,UMAP
3.110485792160034,5.221898078918457,0.4930188059806824,UMAP
6.765621185302734,6.003924369812012,0.31717103719711304,UMAP
