# Training-script output capture
# Generated: 2026-05-15T16:57:06
# UUID:      c154dcbf-c1d1-469d-88fa-25e32a90af69
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3674, 52), cal_sub: (608, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-15 16:57:06,350] A new study created in memory with name: no-name-7cfa01ee-b2d4-4377-8977-f9d95f8c2d88
[I 2026-05-15 16:57:27,261] Trial 21 finished with values: [0.6383785732818474, 0.4280897113609002] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 16:57:27,875] Trial 22 finished with values: [0.6335585399682013, 0.36657885882654134] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-15 16:57:28,698] Trial 23 finished with values: [0.6447690713015938, 0.3311066152617342] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-15 16:57:29,404] Trial 24 finished with values: [0.6353996660704351, 0.4376765453033656] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-15 16:57:30,052] Trial 25 finished with values: [0.6534632744380057, 0.5102837082647362] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 16:57:30,716] Trial 26 finished with values: [0.6386465443256387, 0.39162611235443157] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-15 16:57:31,385] Trial 27 finished with values: [0.6435971139503549, 0.37012571353792334] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-15 16:57:32,138] Trial 28 finished with values: [0.6420632445374086, 0.46526687658136795] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-15 16:57:32,577] Trial 29 finished with values: [0.6278215092981847, 0.4143471894836299] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-15 16:57:33,423] Trial 30 finished with values: [0.6489607153796056, 0.32778592975540766] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-15 16:57:33,990] Trial 31 finished with values: [0.656447818710447, 0.40619272702456993] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-15 16:57:34,558] Trial 32 finished with values: [0.6409793857180786, 0.5279560321780539] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-15 16:57:35,250] Trial 33 finished with values: [0.6505067551771815, 0.38539259814536] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-15 16:57:36,024] Trial 34 finished with values: [0.6271538392188467, 0.39753718997784715] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-15 16:57:36,513] Trial 35 finished with values: [0.6518459884022156, 0.3776601197642764] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
