# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.03349039
2,any_sleep_issue_today,0.01528383
3,stress_today,0.01144784
4,lack_of_sleep_today,0.01075228
5,physical_fatigue_today,0.00975905
6,menstruation_today,0.00864257
7,ovulation_today,0.00568546
8,emotional_changes_today,0.00424729
9,no_exercise_today,0.00416163
10,alcohol_today,0.00403812
11,cheese_chocolate_today,0.00402515
12,specific_smells_today,0.00383067
13,oversleeping_today,0.00343063
14,exercise_today,0.00335583
15,moderate_exercise_min,0.00295880
16,excessive_smoking_today,0.00283661
17,overeating_today,0.00266515
18,exercise_as_trigger_today,0.00249803
19,travel_today,0.00233926
20,noise_today,0.00210994
21,sunlight_today,0.00198611
22,weather_change_today,0.00184808
23,irregular_meals_today,0.00168789
24,excessive_caffeine_today,0.00128024
25,dow,0.00086822
26,vigorous_exercise_min,0.00036024
