# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.02247662
2,menstruation_today,0.02093810
3,exercise_today,0.01246267
4,exercise_as_trigger_today,0.00813610
5,specific_smells_today,0.00783285
6,stress_today,0.00762556
7,sunlight_today,0.00593988
8,no_exercise_today,0.00541220
9,noise_today,0.00540961
10,cheese_chocolate_today,0.00537755
11,any_sleep_issue_today,0.00503824
12,lack_of_sleep_today,0.00499896
13,excessive_smoking_today,0.00461166
14,dow,0.00445658
15,irregular_meals_today,0.00422832
16,weather_change_today,0.00329738
17,moderate_exercise_min,0.00316173
18,ovulation_today,0.00296217
19,physical_fatigue_today,0.00252444
20,emotional_changes_today,0.00228598
21,alcohol_today,0.00211659
22,overeating_today,0.00205930
23,travel_today,0.00200413
24,oversleeping_today,0.00191044
25,excessive_caffeine_today,0.00176289
26,vigorous_exercise_min,0.00108238
