# Training-script output capture
# Generated: 2026-05-22T18:19:05
# UUID:      fe6a27cf-a795-435c-8f9a-b6a730c5ac0f
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 18:19:05,582] A new study created in memory with name: no-name-3a576f92-6b2d-4efd-a1d6-a10d7214ea0d
[I 2026-05-22 18:19:27,070] Trial 21 finished with values: [0.5493641177823261, 0.9049507071872828] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-22 18:19:27,686] Trial 22 finished with values: [0.5550090760771852, 0.7551493982709856] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-22 18:19:28,477] Trial 23 finished with values: [0.5748532889943272, 1.222074095303863] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-22 18:19:29,304] Trial 24 finished with values: [0.4893264946130344, 3.5278082304796343] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-22 18:19:29,953] Trial 25 finished with values: [0.5295795498225911, 1.9120660401973981] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-22 18:19:30,589] Trial 26 finished with values: [0.536601453033853, 0.9552841889354875] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-22 18:19:31,202] Trial 27 finished with values: [0.5185098285709445, 1.1532525025223217] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-22 18:19:32,030] Trial 28 finished with values: [0.524217651464185, 1.063119620273841] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-22 18:19:32,534] Trial 29 finished with values: [0.5386399741409752, 1.1390488283273594] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-22 18:19:33,263] Trial 30 finished with values: [0.4954034493677126, 1.6197546009270987] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-22 18:19:33,840] Trial 31 finished with values: [0.5333600502515601, 1.1382249815631735] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 18:19:34,496] Trial 32 finished with values: [0.5024142722033147, 1.4982961337973615] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-22 18:19:35,163] Trial 33 finished with values: [0.49552472639150735, 1.7756076450597178] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-22 18:19:35,938] Trial 34 finished with values: [0.5539685047671281, 0.8529078258873108] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 18:19:36,405] Trial 35 finished with values: [0.5187575526751556, 1.1961141365968657] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 18:19:36,928] Trial 36 finished with values: [0.5479405611203448, 0.8318116535267436] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-22 18:19:37,548] Trial 37 finished with values: [0.49675066457521044, 2.621472362261681] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 18:19:37,950] Trial 38 finished with values: [0.5693069067848912, 0.8842558156172844] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-22 18:19:38,578] Trial 39 finished with values: [0.5197600735288098, 1.7569667488837113] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-22 18:19:39,255] Trial 40 finished with values: [0.5240356955538179, 1.0076187169520043] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-22 18:19:39,811] Trial 41 finished with values: [0.5612477935524443, 0.9359953183305876] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-22 18:19:40,535] Trial 42 finished with values: [0.553929545894755, 1.0017212015634978] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-22 18:19:41,037] Trial 43 finished with values: [0.5516117555392732, 0.7921554336345091] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-22 18:19:41,683] Trial 44 finished with values: [0.48249014709504257, 2.2703836738554015] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-22 18:19:42,244] Trial 45 finished with values: [0.46378340784291455, 5.398173594097511] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-22 18:19:43,105] Trial 46 finished with values: [0.48990009241170007, 1.8937721874854219] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-22 18:19:43,777] Trial 47 finished with values: [0.5087798598635922, 1.4969642655980344] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-22 18:19:44,616] Trial 48 finished with values: [0.5216416378573088, 3.254880223360691] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 18:19:45,434] Trial 49 finished with values: [0.5517881938491296, 1.094224188445215] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-22 18:19:46,028] Trial 50 finished with values: [0.5382709641777506, 1.4689213428062706] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.9314950036607718, 'colsample_bytree': 0.7427013306774357, 'min_child_weight': 3}.
[I 2026-05-22 18:19:46,325] Trial 51 finished with values: [0.542359710706009, 1.0612333163544432] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 4}.
[I 2026-05-22 18:19:47,167] Trial 52 finished with values: [0.42325990239965766, 3.4415426925566934] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-22 18:19:47,734] Trial 53 finished with values: [0.5435019608369711, 0.8715541454756611] and parameters: {'n_estimators': 120, 'learning_rate': 0.029385442161128397, 'subsample': 0.6137554084460873, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 8}.
[I 2026-05-22 18:19:48,247] Trial 54 finished with values: [0.5365357096519326, 0.9070741318725162] and parameters: {'n_estimators': 242, 'learning_rate': 0.017797595772834223, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.82272050498334, 'min_child_weight': 6}.
[I 2026-05-22 18:19:48,871] Trial 55 finished with values: [0.5175917394388728, 2.0380025779378754] and parameters: {'n_estimators': 242, 'learning_rate': 0.24144271975982237, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 7}.
[I 2026-05-22 18:19:49,410] Trial 56 finished with values: [0.5614909504741643, 0.80337375714986] and parameters: {'n_estimators': 91, 'learning_rate': 0.01412166070620751, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 4}.
[I 2026-05-22 18:19:50,109] Trial 57 finished with values: [0.525451757479108, 1.4653262180887456] and parameters: {'n_estimators': 325, 'learning_rate': 0.06951034928701941, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6388705975083074, 'min_child_weight': 7}.
[I 2026-05-22 18:19:50,770] Trial 58 finished with values: [0.5544253939505506, 0.855591820991455] and parameters: {'n_estimators': 203, 'learning_rate': 0.017303875834205888, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9960215400417053, 'min_child_weight': 3}.
[I 2026-05-22 18:19:51,599] Trial 59 finished with values: [0.5331748486306347, 0.8513708829558194] and parameters: {'n_estimators': 487, 'learning_rate': 0.01610352961694889, 'subsample': 0.8073318609454947, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-22 18:19:52,324] Trial 60 finished with values: [0.5326245592200781, 0.9069830477585971] and parameters: {'n_estimators': 297, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509492287711822, 'min_child_weight': 3}.
[I 2026-05-22 18:19:52,889] Trial 61 finished with values: [0.4844950358987134, 2.572515472440256] and parameters: {'n_estimators': 120, 'learning_rate': 0.25648866468880704, 'subsample': 0.8963074471016818, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 18:19:53,650] Trial 62 finished with values: [0.5486148496805772, 0.955471480293119] and parameters: {'n_estimators': 347, 'learning_rate': 0.10704755834674413, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 8}.
[I 2026-05-22 18:19:54,157] Trial 63 finished with values: [0.5342731293784535, 0.806144867432924] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-22 18:19:54,855] Trial 64 finished with values: [0.5327116400727078, 1.6823464264210035] and parameters: {'n_estimators': 468, 'learning_rate': 0.16155001304356414, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 9}.
[I 2026-05-22 18:19:55,671] Trial 65 finished with values: [0.5500403009218975, 1.1269594288927103] and parameters: {'n_estimators': 443, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-22 18:19:56,144] Trial 66 finished with values: [0.5187575526751556, 1.1961141365968657] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 18:19:56,883] Trial 67 finished with values: [0.5235779911602962, 1.0352896006980696] and parameters: {'n_estimators': 465, 'learning_rate': 0.01351182947645082, 'subsample': 0.6783931449676581, 'colsample_bytree': 0.6180909155642152, 'min_child_weight': 1}.
