# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.02875603
2,menstruation_today,0.01824985
3,stress_today,0.01319670
4,specific_smells_today,0.01044323
5,exercise_as_trigger_today,0.00970588
6,exercise_today,0.00881950
7,no_exercise_today,0.00775573
8,weather_change_today,0.00678416
9,lack_of_sleep_today,0.00656370
10,physical_fatigue_today,0.00632053
11,any_sleep_issue_today,0.00591774
12,ovulation_today,0.00579885
13,travel_today,0.00566154
14,irregular_meals_today,0.00502577
15,excessive_smoking_today,0.00459357
16,emotional_changes_today,0.00455312
17,noise_today,0.00451136
18,cheese_chocolate_today,0.00421575
19,dow,0.00407861
20,alcohol_today,0.00399901
21,sunlight_today,0.00361181
22,moderate_exercise_min,0.00355748
23,oversleeping_today,0.00345882
24,overeating_today,0.00322511
25,excessive_caffeine_today,0.00226232
26,vigorous_exercise_min,0.00135584
