# Training-script output capture
# Generated: 2026-05-15T17:26:47
# UUID:      490ba63b-7107-48c0-b930-43dfe5a26feb
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:26:47,082] A new study created in memory with name: no-name-7aa7a9ba-56d6-4069-b08a-3c505e252fbc
[I 2026-05-15 17:27:08,412] Trial 20 finished with values: [0.7594253104662421, 0.6662862928108619] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 10}.
[I 2026-05-15 17:27:09,029] Trial 21 finished with values: [0.734789563613993, 0.7883733527846992] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-15 17:27:09,582] Trial 22 finished with values: [0.7456116207440997, 0.749129306491103] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-15 17:27:10,449] Trial 23 finished with values: [0.7594195505123218, 1.2116179664561444] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-15 17:27:11,271] Trial 24 finished with values: [0.727954291809681, 0.7136549763877404] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-15 17:27:11,853] Trial 25 finished with values: [0.7714792527219627, 1.0040278784255545] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-15 17:27:12,576] Trial 26 finished with values: [0.7447228689351952, 0.6529504565781268] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-15 17:27:13,242] Trial 27 finished with values: [0.7271685693695917, 0.9814769916266577] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-15 17:27:14,032] Trial 28 finished with values: [0.7383918643708766, 0.8295378231213915] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-15 17:27:14,496] Trial 29 finished with values: [0.7315744154355646, 0.7267298655436221] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
