# Training-script output capture
# Generated: 2026-05-15T16:08:40
# UUID:      16a07a39-3159-4897-aac8-053fdeceafd4
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-15 16:08:40,759] A new study created in memory with name: no-name-0526f3e2-6fa1-4095-addd-f7ab717a82ce
[I 2026-05-15 16:09:15,507] Trial 44 finished with values: [0.601331957695594, 0.8432142530284847] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-15 16:09:15,990] Trial 45 finished with values: [0.6248859078152007, 0.4815698448855043] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-15 16:09:16,824] Trial 46 finished with values: [0.6129849132879436, 0.8125300218854917] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-15 16:09:17,536] Trial 47 finished with values: [0.5926961475446324, 0.8884785302963245] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-15 16:09:18,395] Trial 48 finished with values: [0.562525068686685, 1.1902235865813453] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-15 16:09:19,114] Trial 49 finished with values: [0.6065455616970769, 0.6845020706669318] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
[I 2026-05-15 16:09:19,582] Trial 50 finished with values: [0.593173009031595, 0.7386570638352691] and parameters: {'n_estimators': 120, 'learning_rate': 0.012184186502221764, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 3}.
[I 2026-05-15 16:09:20,106] Trial 51 finished with values: [0.6023318832409742, 0.6595488928820412] and parameters: {'n_estimators': 64, 'learning_rate': 0.08710745900492396, 'subsample': 0.7257423924305306, 'colsample_bytree': 0.8034282764658811, 'min_child_weight': 4}.
[I 2026-05-15 16:09:20,904] Trial 52 finished with values: [0.5967784772835278, 0.5782749399061899] and parameters: {'n_estimators': 433, 'learning_rate': 0.2708160864249968, 'subsample': 0.9329770563201687, 'colsample_bytree': 0.6849356442713105, 'min_child_weight': 2}.
[I 2026-05-15 16:09:21,463] Trial 53 finished with values: [0.6144226818974293, 0.627099596822146] and parameters: {'n_estimators': 120, 'learning_rate': 0.029385442161128397, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 8}.
