# metric: mean |SHAP|
rank,feature,value
1,inappropriate_lighting_today,0.04103724
2,menstruation_today,0.01733694
3,any_sleep_issue_today,0.01471950
4,stress_today,0.01313715
5,lack_of_sleep_today,0.01218860
6,physical_fatigue_today,0.01168664
7,exercise_today,0.00512504
8,moderate_exercise_min,0.00508971
9,emotional_changes_today,0.00490248
10,ovulation_today,0.00488793
11,specific_smells_today,0.00462750
12,alcohol_today,0.00415345
13,no_exercise_today,0.00414915
14,cheese_chocolate_today,0.00341095
15,noise_today,0.00303105
16,oversleeping_today,0.00295138
17,excessive_smoking_today,0.00293508
18,irregular_meals_today,0.00259897
19,exercise_as_trigger_today,0.00225530
20,sunlight_today,0.00198646
21,dow,0.00190660
22,travel_today,0.00187915
23,overeating_today,0.00184669
24,weather_change_today,0.00174217
25,excessive_caffeine_today,0.00100078
26,vigorous_exercise_min,0.00037028
