x,y,proba,method
8.753861427307129,5.374106407165527,0.08854997158050537,UMAP
9.807452201843262,4.560614585876465,0.041218340396881104,UMAP
9.703510284423828,4.647320747375488,0.03563814237713814,UMAP
9.331891059875488,5.7189178466796875,0.06980481743812561,UMAP
9.900373458862305,5.218772888183594,0.05229238048195839,UMAP
9.994874000549316,5.322443008422852,0.0486689992249012,UMAP
10.0333890914917,5.450278282165527,0.03861408680677414,UMAP
10.210550308227539,5.524829387664795,0.03690309822559357,UMAP
10.258133888244629,5.417693614959717,0.039569661021232605,UMAP
10.21830940246582,5.490229606628418,0.039761610329151154,UMAP
9.938788414001465,5.542679786682129,0.0410255491733551,UMAP
10.009577751159668,5.591151714324951,0.04091364145278931,UMAP
9.326984405517578,5.738992214202881,0.06002390384674072,UMAP
9.382981300354004,5.736292362213135,0.052275802940130234,UMAP
9.310481071472168,5.7696075439453125,0.048941470682621,UMAP
8.962568283081055,5.587550640106201,0.10140807926654816,UMAP
9.256075859069824,5.889293670654297,0.05000786483287811,UMAP
9.134581565856934,7.499083995819092,0.0423000305891037,UMAP
9.612340927124023,7.2857890129089355,0.02881169691681862,UMAP
9.542559623718262,7.4247612953186035,0.026921268552541733,UMAP
9.195327758789062,7.55525016784668,0.03300034627318382,UMAP
9.275046348571777,7.590759754180908,0.030215885490179062,UMAP
9.82456111907959,7.535417556762695,0.025554994121193886,UMAP
9.535516738891602,7.579419136047363,0.0245906300842762,UMAP
9.243537902832031,7.638171195983887,0.025990836322307587,UMAP
9.37151050567627,7.674151420593262,0.03842742741107941,UMAP
9.445952415466309,7.622392177581787,0.02057518996298313,UMAP
9.251644134521484,7.649445056915283,0.025457821786403656,UMAP
8.911499977111816,7.817355155944824,0.026222337037324905,UMAP
8.963748931884766,7.77872896194458,0.02370074950158596,UMAP
9.028902053833008,7.742363452911377,0.026903744786977768,UMAP
8.233238220214844,8.383883476257324,0.02739904075860977,UMAP
8.74799633026123,7.9504313468933105,0.02440822497010231,UMAP
8.602991104125977,8.124968528747559,0.026393268257379532,UMAP
7.973491668701172,8.298941612243652,0.027655616402626038,UMAP
8.282052040100098,8.29869556427002,0.02364172786474228,UMAP
8.4750394821167,8.26258659362793,0.021524464711546898,UMAP
8.289990425109863,8.352254867553711,0.02219567447900772,UMAP
8.011141777038574,8.454240798950195,0.020435485988855362,UMAP
8.14926815032959,8.461522102355957,0.01892208866775036,UMAP
8.068842887878418,8.440753936767578,0.01832103356719017,UMAP
8.493853569030762,8.24882698059082,0.02091032639145851,UMAP
8.388163566589355,8.357464790344238,0.016788840293884277,UMAP
8.302721977233887,8.46441650390625,0.01703323982656002,UMAP
8.278743743896484,8.474891662597656,0.02431206963956356,UMAP
7.77914571762085,8.578969955444336,0.026860490441322327,UMAP
7.877241134643555,8.572112083435059,0.020318685099482536,UMAP
7.731392860412598,8.582569122314453,0.020073316991329193,UMAP
7.7668304443359375,8.591340065002441,0.024745430797338486,UMAP
7.770620346069336,8.609086990356445,0.018840182572603226,UMAP
7.71889066696167,8.551918983459473,0.02037632092833519,UMAP
7.620940208435059,8.52330207824707,0.021780190989375114,UMAP
7.797628879547119,8.648575782775879,0.018652012571692467,UMAP
7.979551792144775,8.703115463256836,0.021186018362641335,UMAP
7.95558500289917,8.73892593383789,0.01804114133119583,UMAP
7.970574378967285,8.708258628845215,0.020469311624765396,UMAP
7.644651889801025,8.560093879699707,0.021739844232797623,UMAP
7.7077956199646,8.60991382598877,0.024024799466133118,UMAP
7.993700981140137,8.791236877441406,0.017554236575961113,UMAP
7.996740341186523,8.836631774902344,0.014758553355932236,UMAP
11.825989723205566,16.115957260131836,0.010041704401373863,UMAP
11.785632133483887,16.153223037719727,0.009351275861263275,UMAP
9.053399085998535,5.461891174316406,0.06694117933511734,UMAP
9.799532890319824,5.11730432510376,0.03688092902302742,UMAP
9.81818675994873,5.091672897338867,0.03386679291725159,UMAP
9.616207122802734,5.383935928344727,0.049447089433670044,UMAP
8.604731559753418,5.461705207824707,0.2668992280960083,UMAP
9.783334732055664,5.319189071655273,0.06066024675965309,UMAP
10.156115531921387,5.210748195648193,0.04905397817492485,UMAP
10.577499389648438,5.252439975738525,0.042288556694984436,UMAP
10.631101608276367,5.220458507537842,0.0405484139919281,UMAP
10.594976425170898,5.24702262878418,0.03850597143173218,UMAP
10.409960746765137,5.377234935760498,0.03886182978749275,UMAP
9.95211124420166,4.867100238800049,0.04221382737159729,UMAP
10.822997093200684,5.046180725097656,0.03665188327431679,UMAP
10.830496788024902,5.046665668487549,0.03675278648734093,UMAP
10.83180046081543,5.0615081787109375,0.03311562538146973,UMAP
10.078435897827148,5.653834819793701,0.03706146776676178,UMAP
