# Training-script output capture
# Generated: 2026-05-22T18:01:34
# UUID:      1935df1c-5f3c-4cd4-a503-6b124ef6b950
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading train and chronologically subsplitting...
train_sub: (3384, 52), cal_sub: (234, 52)
Running pareto_AUROC_slope search (500 trials)...
[I 2026-05-22 18:01:34,792] A new study created in memory with name: no-name-cfc6847f-6cef-441f-a688-bc7597780ed4
[I 2026-05-22 18:01:55,240] Trial 21 finished with values: [0.5755449599608778, 0.9144526340747351] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-22 18:01:55,844] Trial 22 finished with values: [0.5383357618853335, 2.156791907659662] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-22 18:01:56,696] Trial 23 finished with values: [0.44986256528066243, 2.628945201569399] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-22 18:01:57,419] Trial 24 finished with values: [0.5565141915101613, 4.398070669343556] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-22 18:01:58,087] Trial 25 finished with values: [0.5635781455908632, 4.859520680585807] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-22 18:01:58,728] Trial 26 finished with values: [0.5508408097195152, 2.472141354112399] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-22 18:01:59,315] Trial 27 finished with values: [0.5531927568969692, 2.654390569534002] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-22 18:02:00,163] Trial 28 finished with values: [0.5590377247713726, 2.039604475935449] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-22 18:02:00,654] Trial 29 finished with values: [0.540718851392046, 2.0750372104345116] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-22 18:02:01,377] Trial 30 finished with values: [0.5578524871452596, 36.528279408605464] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
