addition,target,architecture,n_patients,k_estimable,pooled_auroc,within_person,within_ci_low,within_ci_high,tau2,pooled_minus_within
0,headache,stacked_2xgb_meta_lr,63,57,0.6056172449506534,0.543224429452996,0.511439270945657,0.575009587960335,0.0071666540679871105,0.062392815497657406
1,headache,tabpfn,63,57,0.6535003923503226,0.5417863993526776,0.5089457810801246,0.5746270176252306,0.008189241478248732,0.11171399299764506
4,headache,sequence,63,57,0.6308870579207164,0.5379475486119483,0.5055190703618605,0.570376026862036,0.007729105462203734,0.09293950930876815
0,migraine,stacked_2xgb_meta_lr,63,19,0.62427955340502,0.5575602304266029,0.5110912320205809,0.6040292288326248,0.001343753290711902,0.0667193229784171
1,migraine,tabpfn,63,19,0.7381585586293986,0.5653486645272092,0.5083124861537662,0.6223848429006522,0.006338779872749001,0.1728098941021894
4,migraine,sequence,63,19,0.6846922240913036,0.5300242413746109,0.47635478350433047,0.5836936992448913,0.0046675979101564735,0.1546679827166927
