target,feature_set,regime,pooled_auroc,within_person,within_ci_low,within_ci_high,k_estimable
migraine,full_features,pooled,0.6774032750423351,0.5408741091634185,0.4850163462132696,0.5967318721135674,19
migraine,full_features,per_patient,0.6347123970640134,0.513062826322742,0.4564550594680994,0.5696705931773847,19
migraine,full_features,partial_pool,0.6938178029526493,0.5173897382326506,0.45932873009817965,0.5754507463671215,19
headache,full_features,pooled,0.6201538604675315,0.5381206269890473,0.5098547362460373,0.5663865177320573,57
headache,full_features,per_patient,0.6032218524705089,0.5275001633626224,0.495384400407052,0.5596159263181928,57
headache,full_features,partial_pool,0.6407600056544605,0.5264867807423567,0.49763804181348215,0.5553355196712312,57
