# metric: mean |SHAP|
rank,feature,value
1,menstruation_today,0.03659652
2,inappropriate_lighting_today,0.02656134
3,specific_smells_today,0.00915972
4,emotional_changes_today,0.00846073
5,excessive_smoking_today,0.00720123
6,overeating_today,0.00692737
7,ovulation_today,0.00626016
8,stress_today,0.00557802
9,no_exercise_today,0.00532715
10,noise_today,0.00496819
11,oversleeping_today,0.00477722
12,sunlight_today,0.00476971
13,alcohol_today,0.00470729
14,lack_of_sleep_today,0.00465156
15,cheese_chocolate_today,0.00463731
16,irregular_meals_today,0.00451326
17,any_sleep_issue_today,0.00404204
18,exercise_as_trigger_today,0.00362618
19,travel_today,0.00348632
20,physical_fatigue_today,0.00262563
21,weather_change_today,0.00239209
22,excessive_caffeine_today,0.00175095
23,moderate_exercise_min,0.00171054
24,exercise_today,0.00105135
25,vigorous_exercise_min,0.00094530
26,dow,0.00091253
