# Training-script output capture
# Generated: 2026-05-22T17:37:48
# UUID:      8aded700-6c5f-4111-8c31-aecba43bcd38
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/headache/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUROC_slope search (500 trials, seed=42)...
[I 2026-05-22 17:37:48,624] A new study created in memory with name: no-name-06416289-7dc7-47e7-a08f-eee50dbc6281
[I 2026-05-22 17:38:09,432] Trial 21 finished with values: [0.5800240716677127, 0.6356606719019452] and parameters: {'n_estimators': 162, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.6915192661966489, 'min_child_weight': 1}.
[I 2026-05-22 17:38:09,924] Trial 22 finished with values: [0.585802316346799, 0.7230742544421174] and parameters: {'n_estimators': 180, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.9232481518257668, 'min_child_weight': 7}.
[I 2026-05-22 17:38:10,751] Trial 23 finished with values: [0.6070853768254592, 0.7662627903435518] and parameters: {'n_estimators': 443, 'learning_rate': 0.1538583627271404, 'subsample': 0.6746280235544143, 'colsample_bytree': 0.9570235993959911, 'min_child_weight': 6}.
[I 2026-05-22 17:38:11,414] Trial 24 finished with values: [0.5973751023019462, 1.0235489735828345] and parameters: {'n_estimators': 414, 'learning_rate': 0.21068591627429098, 'subsample': 0.7272013899887455, 'colsample_bytree': 0.6440207698110707, 'min_child_weight': 3}.
[I 2026-05-22 17:38:12,074] Trial 25 finished with values: [0.5844669017951838, 0.4875949826465712] and parameters: {'n_estimators': 242, 'learning_rate': 0.16155001304356414, 'subsample': 0.9442922333025374, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 6}.
[I 2026-05-22 17:38:12,623] Trial 26 finished with values: [0.5853730846000108, 0.716376270621703] and parameters: {'n_estimators': 238, 'learning_rate': 0.0212853192163843, 'subsample': 0.6479461469334731, 'colsample_bytree': 0.7350460685614512, 'min_child_weight': 10}.
[I 2026-05-22 17:38:13,250] Trial 27 finished with values: [0.5677997788714688, 0.8900348069197737] and parameters: {'n_estimators': 195, 'learning_rate': 0.05838706626832953, 'subsample': 0.881207583558071, 'colsample_bytree': 0.7454518409517176, 'min_child_weight': 10}.
[I 2026-05-22 17:38:14,116] Trial 28 finished with values: [0.578192028737378, 0.6299951091213509] and parameters: {'n_estimators': 484, 'learning_rate': 0.023545774516299134, 'subsample': 0.7988994023569542, 'colsample_bytree': 0.7203513239267079, 'min_child_weight': 3}.
[I 2026-05-22 17:38:14,611] Trial 29 finished with values: [0.5778974097519367, 0.7047950926111495] and parameters: {'n_estimators': 66, 'learning_rate': 0.07950609693143304, 'subsample': 0.8010716092915446, 'colsample_bytree': 0.6205915004999957, 'min_child_weight': 3}.
[I 2026-05-22 17:38:15,308] Trial 30 finished with values: [0.5805777576752134, 0.7219414611210928] and parameters: {'n_estimators': 459, 'learning_rate': 0.022587177280197233, 'subsample': 0.6579579488364892, 'colsample_bytree': 0.7957811041110252, 'min_child_weight': 10}.
[I 2026-05-22 17:38:15,777] Trial 31 finished with values: [0.5721940242293917, 0.6139671247645612] and parameters: {'n_estimators': 159, 'learning_rate': 0.09836162684900028, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 8}.
[I 2026-05-22 17:38:16,399] Trial 32 finished with values: [0.5861845305550553, 0.5906636553419671] and parameters: {'n_estimators': 215, 'learning_rate': 0.08589984533104164, 'subsample': 0.8534118843043579, 'colsample_bytree': 0.8143098736299034, 'min_child_weight': 1}.
[I 2026-05-22 17:38:17,191] Trial 33 finished with values: [0.5769203874412205, 0.7287290684854307] and parameters: {'n_estimators': 426, 'learning_rate': 0.029773579612263783, 'subsample': 0.6746074041599417, 'colsample_bytree': 0.6163100566219055, 'min_child_weight': 6}.
[I 2026-05-22 17:38:17,848] Trial 34 finished with values: [0.5818667298559974, 0.6980261191401784] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 17:38:18,414] Trial 35 finished with values: [0.5795544740671563, 0.6903983201355681] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 17:38:18,907] Trial 36 finished with values: [0.5825938282211204, 0.6644979820841994] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-22 17:38:19,602] Trial 37 finished with values: [0.5946395509958855, 0.5259053887923288] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 17:38:20,099] Trial 38 finished with values: [0.5916182088295467, 0.5370879291937765] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-22 17:38:20,612] Trial 39 finished with values: [0.6064879380049228, 0.45335904171785674] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
