leaf_path,addition,autogluon_runtime_s,span_s,earliest_training_ts,latest_results_ts,n_training_logs,n_results_files,multi_day_gap,notes
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP200,0,,10152,2026-05-15T16:45:02,2026-05-15T19:34:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/HyperparameterTuned/single_AUROC/HP500,0,,10148,2026-05-15T16:45:05,2026-05-15T19:34:13,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/chrono/NonHP,0,,242840,2026-05-13T00:07:30,2026-05-15T19:34:50,3,7,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,313,2026-05-22T17:49:55,2026-05-22T17:55:08,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9,2026-05-22T17:55:09,2026-05-22T17:55:18,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,10,2026-05-22T17:55:19,2026-05-22T17:55:29,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP020,0,,323,2026-05-22T17:55:29,2026-05-22T18:00:52,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP050,0,,10,2026-05-22T18:00:53,2026-05-22T18:01:03,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP100,0,,10,2026-05-22T18:01:04,2026-05-22T18:01:14,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP200,0,,9,2026-05-22T18:01:14,2026-05-22T18:01:23,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/HyperparameterTuned/single_AUROC/HP500,0,,10,2026-05-22T18:01:24,2026-05-22T18:01:34,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/patient/NonHP,0,,11,2026-05-22T14:59:01,2026-05-22T14:59:12,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,10189,2026-05-15T16:45:09,2026-05-15T19:34:58,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9819,2026-05-15T16:51:20,2026-05-15T19:34:59,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,9815,2026-05-15T16:51:22,2026-05-15T19:34:57,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP020,0,,9816,2026-05-15T16:51:25,2026-05-15T19:35:01,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP050,0,,9485,2026-05-15T16:56:53,2026-05-15T19:34:58,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP100,0,,9483,2026-05-15T16:56:56,2026-05-15T19:34:59,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP200,0,,9480,2026-05-15T16:56:58,2026-05-15T19:34:58,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/HyperparameterTuned/single_AUROC/HP500,0,,9506,2026-05-15T16:57:01,2026-05-15T19:35:27,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/70_30/stratified/NonHP,0,,242894,2026-05-13T00:07:32,2026-05-15T19:35:46,3,6,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,9506,2026-05-15T16:57:06,2026-05-15T19:35:32,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9169,2026-05-15T17:02:42,2026-05-15T19:35:31,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/pareto_AUROC_slope/slope_closest,0,,9168,2026-05-15T17:02:44,2026-05-15T19:35:32,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP020,0,,9165,2026-05-15T17:02:47,2026-05-15T19:35:32,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP050,0,,8838,2026-05-15T17:08:14,2026-05-15T19:35:32,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP100,0,,8836,2026-05-15T17:08:17,2026-05-15T19:35:33,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP200,0,,8861,2026-05-15T17:08:19,2026-05-15T19:36:00,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/HyperparameterTuned/single_AUROC/HP500,0,,8866,2026-05-15T17:08:22,2026-05-15T19:36:08,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/chrono/NonHP,0,,242914,2026-05-13T00:07:35,2026-05-15T19:36:09,3,6,True,multi_day_gap
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/auroc_max,0,,323,2026-05-22T18:01:34,2026-05-22T18:06:57,1,1,False,
0/headache/full_features/stacked_2xgb_meta_lr/80_20/patient/HyperparameterTuned/pareto_AUROC_slope/knee,0,,9,2026-05-22T18:06:58,2026-05-22T18:07:07,1,1,False,
