# Training-script output capture
# Generated: 2026-05-22T18:13:27
# UUID:      2eed52f5-1e48-41a7-a168-91eb8192e41c
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/patient/HyperparameterTuned/pareto_AUPRC_slope/auprc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUPRC_slope search (500 trials, seed=42)...
[I 2026-05-22 18:13:27,895] A new study created in memory with name: no-name-0daf6c36-85e4-4d78-ac1a-66a6dc833064
[I 2026-05-22 18:13:56,714] Trial 34 finished with values: [0.12335478224794805, 0.8529078258873108] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.6905983100791752, 'min_child_weight': 7}.
[I 2026-05-22 18:13:57,279] Trial 35 finished with values: [0.12553894386533926, 1.1961141365968657] and parameters: {'n_estimators': 128, 'learning_rate': 0.10485733570643786, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 2}.
[I 2026-05-22 18:13:57,899] Trial 36 finished with values: [0.11971244608804403, 0.8318116535267436] and parameters: {'n_estimators': 203, 'learning_rate': 0.01471005003927122, 'subsample': 0.9698774473114251, 'colsample_bytree': 0.9509357413523924, 'min_child_weight': 3}.
[I 2026-05-22 18:13:58,623] Trial 37 finished with values: [0.12994001730132104, 2.621472362261681] and parameters: {'n_estimators': 347, 'learning_rate': 0.16111511355977057, 'subsample': 0.822080324639785, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 3}.
[I 2026-05-22 18:13:59,126] Trial 38 finished with values: [0.125989036028738, 0.8842558156172844] and parameters: {'n_estimators': 91, 'learning_rate': 0.21149322814164553, 'subsample': 0.9601672228653322, 'colsample_bytree': 0.8532405829093072, 'min_child_weight': 4}.
[I 2026-05-22 18:13:59,609] Trial 39 finished with values: [0.12928385983522844, 1.7569667488837113] and parameters: {'n_estimators': 207, 'learning_rate': 0.11812030596598909, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.954834569706047, 'min_child_weight': 8}.
[I 2026-05-22 18:14:00,331] Trial 40 finished with values: [0.11906694408186232, 1.0076187169520043] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.9594216754108317, 'min_child_weight': 7}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
[I 2026-05-22 18:14:00,874] Trial 41 finished with values: [0.1258415947483958, 0.9359953183305876] and parameters: {'n_estimators': 54, 'learning_rate': 0.01412166070620751, 'subsample': 0.8654007076432223, 'colsample_bytree': 0.6020246335384875, 'min_child_weight': 2}.
[I 2026-05-22 18:14:01,575] Trial 42 finished with values: [0.12150179686302458, 1.0017212015634978] and parameters: {'n_estimators': 297, 'learning_rate': 0.10519936117151477, 'subsample': 0.8607845038010402, 'colsample_bytree': 0.689707723784224, 'min_child_weight': 8}.
[I 2026-05-22 18:14:02,039] Trial 43 finished with values: [0.12478064887132445, 0.7921554336345091] and parameters: {'n_estimators': 156, 'learning_rate': 0.030245085073501415, 'subsample': 0.8985965620472096, 'colsample_bytree': 0.8598531596188859, 'min_child_weight': 9}.
[I 2026-05-22 18:14:02,729] Trial 44 finished with values: [0.1255699917115662, 2.2703836738554015] and parameters: {'n_estimators': 346, 'learning_rate': 0.06909724267901692, 'subsample': 0.637469907131237, 'colsample_bytree': 0.7470863212237734, 'min_child_weight': 3}.
[I 2026-05-22 18:14:03,223] Trial 45 finished with values: [0.1319443780075784, 5.398173594097511] and parameters: {'n_estimators': 160, 'learning_rate': 0.2736872535680783, 'subsample': 0.7572390898667042, 'colsample_bytree': 0.9568186220708453, 'min_child_weight': 7}.
[I 2026-05-22 18:14:03,904] Trial 46 finished with values: [0.12504174930501033, 1.8937721874854219] and parameters: {'n_estimators': 408, 'learning_rate': 0.05526573288655769, 'subsample': 0.8307615538505436, 'colsample_bytree': 0.7970070775275455, 'min_child_weight': 2}.
[I 2026-05-22 18:14:04,660] Trial 47 finished with values: [0.11976790772367356, 1.4969642655980344] and parameters: {'n_estimators': 375, 'learning_rate': 0.025985724173338116, 'subsample': 0.6097263865725815, 'colsample_bytree': 0.858188918362867, 'min_child_weight': 2}.
[I 2026-05-22 18:14:05,395] Trial 48 finished with values: [0.12928810918202857, 3.254880223360691] and parameters: {'n_estimators': 474, 'learning_rate': 0.25648866468880704, 'subsample': 0.9659457560881795, 'colsample_bytree': 0.7480634801021777, 'min_child_weight': 1}.
[I 2026-05-22 18:14:06,204] Trial 49 finished with values: [0.12161106520148061, 1.094224188445215] and parameters: {'n_estimators': 468, 'learning_rate': 0.042902233912047165, 'subsample': 0.9866619276174678, 'colsample_bytree': 0.9854479908357011, 'min_child_weight': 9}.
/home/mklemmingen/PycharmProjects/migraine-forecasting-shd/.venv/lib/python3.13/site-packages/sklearn/linear_model/_sag.py:348: ConvergenceWarning: The max_iter was reached which means the coef_ did not converge
  warnings.warn(
